Ticker,Date,CallVol,PutVol,PutCallRatio
SPY,2017-04-01,4405504,5818388,1.320708822
SPY,2017-03-31,4241574,5222552,1.23127688
SPY,2017-03-30,2775194,3483078,1.2550755009999999
SPY,2017-03-29,4941272,5976298,1.209465498
SPY,2017-03-26,4826722,6921796,1.434057317
SPY,2017-03-25,4805642,5644154,1.174484908
SPY,2017-03-24,4420516,5995834,1.356365185
SPY,2017-03-23,3778556,4509464,1.193435799
SPY,2017-03-22,3141118,4021802,1.280372784
SPY,2017-03-19,4840928,5858400,1.210181188
SPY,2017-03-18,6170378,4578948,0.7420854929999999
SPY,2017-03-17,4280898,4741110,1.107503613
SPY,2017-03-16,3089654,4399728,1.424019648
SPY,2017-03-15,3494710,4225180,1.209021636
SPY,2017-03-12,3802230,4699286,1.235928915
SPY,2017-03-11,3566172,5411690,1.5175067269999998
SPY,2017-03-10,3488418,4702434,1.34801334
SPY,2017-03-09,2773934,4801792,1.731040465
SPY,2017-03-08,4031344,6012962,1.491552693
SPY,2017-03-05,5724780,8006224,1.3985208169999999
SPY,2017-03-04,5235722,7364504,1.40658805
SPY,2017-03-03,4360540,5505800,1.262641783
SPY,2017-03-02,2949838,3882304,1.3161075290000002
SPY,2017-03-01,4439114,5878130,1.32416739
SPY,2017-02-26,5475100,6962978,1.271753575
SPY,2017-02-25,4921838,6512244,1.323132537
SPY,2017-02-24,3670634,5213642,1.420365528
SPY,2017-02-23,3810288,5934692,1.5575442069999998
SPY,2017-02-22,2906668,4900726,1.6860288140000002
SPY,2017-02-19,3635858,4955776,1.363027929
SPY,2017-02-18,3536136,4212730,1.191337098
SPY,2017-02-17,3032918,4759614,1.5693183919999998
SPY,2017-02-16,3546216,4981596,1.404763838
SPY,2017-02-12,2740804,4766056,1.7389262419999998
SPY,2017-02-11,2710362,4274642,1.577147997
SPY,2017-02-10,3657448,5496020,1.5026925880000002
SPY,2017-02-09,1894432,3061418,1.616008387
SPY,2017-02-08,3146302,4123750,1.310665664
SPY,2017-02-05,3885926,5583270,1.436792672
SPY,2017-02-04,2105806,3941694,1.871822001
SPY,2017-02-03,2548418,4683668,1.837872751
SPY,2017-02-02,2687038,4738274,1.763381835
SPY,2017-02-01,3346138,5915814,1.767952786
